employment_type,job_title,location,salary,label,ML_Prediction
Contract,Customer Service Representative,Lagos,"75,000- 150,000",0,0
Contract,Customer Service Representative,Remote,"Less than 75,000",0,0
Contract,Graphic Designer,"Ille-Ile Bus-Stop, Opposite Skye Bank PLC, 505 Ikorodu Road, Lagos state",100000,1,1
Contract,Real Estate Agent,Lagos,Commission,1,0
Contract,Social media Manager,Lagos,"75,000 - 150,000",0,0
Contract,Telesales Agent,Lagos,"Less than 75,000",0,0
Contract,Website Graphic Designer (Freelancer),Nationwide,"75,000 - 150,000",0,0
Full Time, Human Resources Consultant,"Port Harcourt, Rivers State","150,000 - 250,000",1,1
Full Time,AC Technician,Lagos,"75,000 - 150,000",0,0
Full Time,Account Supervisor/Account Executive,Enugu,"75,000 - 150,000",0,0
Full Time,Accountant,Abuja,"250,000 - 400,000",0,0
Full Time,Accountant,Abuja,"75,000 - 150,000",0,0
Full Time,Accountant,Enugu,"75,000 - 150,000",0,0
Full Time,Accountant,"Lâ€™monarch Towers, No. 65, Opebi Road, Ikeja, Lagos State",200000,1,1
Full Time,Accountant,Lagos,"75,000 - 150,000",0,0
Full Time,Accounting Officer,Lagos,"75,000 - 150,000",0,0
Full Time,Accounts Officer,Lagos,"75,000 - 150,000",0,0
Full Time,Admin/HR Assistant,Lagos,"Less than 75,000",0,0
Full Time,Administrative Assistant,Lagos,"75,000 - 150,000",0,0
Full Time,Architect,Abuja,"75,000 - 150,000",0,0
Full Time,Assistant Researcher,Lagos,"75,000 - 150,000",0,0
Full Time,Bulk/Partnership Marketing Officer,Lagos,"Less than 75,000",0,0
Full Time,Business Development Executive,Lagos,"150,000 - 250,000",0,0
Full Time,Business Development Executive,Lagos,"75,000 - 150,000",0,0
Full Time,Business Development Manager,Lagos,150000,1,0
Full Time,Business Development Officer,Enugu,"75,000 - 150,000",0,0
Full Time,Business Development/sales officer,Abuja,"Less than 75,000",0,0
Full Time,Chef,Abuja,"Less than 75,000",0,0
Full Time,Chef,Ibadan & Oyo State,"Less than 75,000",0,0
Full Time,Chief Accountant/ Head of Accounts,Lagos,"250,000 - 400,000",0,0
Full Time,Chief Security Officer,Lagos,"150,000 - 250,000",0,0
Full Time,Client Service Manager,Lagos,"150,000 - 250,000",0,0
Full Time,CNC Router Machine Operator,Lagos,"75,000 - 150,000",0,0
Full Time,Communications Grants & Partnerships Manager,Lagos,"150,000 - 250,000",0,0
Full Time,Computer Operator,Lagos,"Less than 75,000",0,0
Full Time,Content Creator,Lagos,"150,000 - 250,000",0,0
Full Time,Content Creator,Lagos,"75,000 - 150,000",0,0
Full Time,Content Writer,Lagos,"60,000 - 100,000",1,1
Full Time,Contractor Manager,Lagos,"300,000 - 500,000",0,0
Full Time,Copywriter/Growth Hacker,Remote,"75,000 - 150,000",0,0
Full Time,Country Director (MEDA Senegal),International,Confidential,0,0
Full Time,Creative Designer,Lagos,"75,000 - 150,000",0,0
Full Time,Customer Care Representative,Lagos,"75,000 - 150,000",0,0
Full Time,Customer Service Officer,Lagos,"Less than 75,000",0,0
Full Time,Customer Service Representative,"1 Babatunde Street, Off Ogunlana Drive, Surulere, Lagos State",150000,1,0
Full Time,Design Architect,Lagos,"75,000 - 150,000",0,0
Full Time,DFP Expert,Abuja,"150,000 - 250,000",0,0
Full Time,Digital Marketing Specialist,Lagos,"250,000 - 400,000",0,0
Full Time,Digital Marketing Strategy,Lagos,"150,000 - 250,000",0,0
Full Time,Driver,Enugu,"Less than 75,000",0,0
Full Time,Driver,Lagos,"75,000 - 150,000",0,0
Full Time,Driver,Lagos,"Less than 75,000",0,0
Full Time,Event Housekeeping Supervisor,Enugu,"75,000 - 150,000",0,0
Full Time,Farm Manager,Lagos,"150,000 - 250,000",0,0
Full Time,Field Marketing Officer,Nationwide,"75,000 - 150,000",0,0
Full Time,Field Sales Agent,Lagos,"75,000 - 150,000",0,0
Full Time,Finance Writer,Lagos,"150,000 - 250,000",0,0
Full Time,Financial Analyst,"6, Deji Oyenuga Street Anthony Bus/Stop, Lagos","180,000 - 250,000",1,0
Full Time,Front Desk Officer,"Suite 2, Oluyole, Bus-Stop, Oregun, Ikeja, Lagos","60,000 - 100,000",1,1
Full Time,Front Office Manager,Enugu,"75,000 - 150,000",0,0
Full Time,Fulfilment Officer,Lagos,"Less than 75,000",0,0
Full Time,Functional Consultant,Lagos,"Less than 75,000",0,0
Full Time,Government and History Teacher,Lagos,"Less than 75,000",0,0
Full Time,Grade Teacher,Abuja,"Less than 75,000",0,0
Full Time,Graduate trainee,Lagos,"75,000 - 150,000",0,0
Full Time,Graphic Artist,Lagos,"Less than 75,000",0,0
Full Time,Graphic Designer,Lagos,"150,000 - 250,000",0,0
Full Time,Graphic Designer,Lagos,"75,000 - 150,000",0,0
Full Time,Graphics Designer,Remote,"250,000 - 400,000",0,0
Full Time,Group Sales Lead,Lagos,"75,000 - 150,000",0,0
Full Time,Head of Department IT,Lagos,"400,000 - 600,000",0,0
Full Time,HR Manager,"Lâ€™monarch Towers, No. 65, Opebi Road, Ikeja, Lagos State",300000,1,1
Full Time,Human Resources Officer,Port Harcourt & Rivers State,"75,000 - 150,000",0,0
Full Time,Interior Design Project Supervisor,Lagos,"Less than 75,000",0,0
Full Time,Internal Control and Audit Officer,Lagos,Confidential,0,0
Full Time,Internal Control Assistant,Lagos,"Less than 75,000",0,0
Full Time,Investment Advisor,Abuja,"75,000 - 150,000",0,0
Full Time,Lead Recruiter,Remote,1500 - 2500,0,0
Full Time,Legal Officer,Lagos,"75,000 - 150,000",0,0
Full Time,Librarian,Lagos,"75,000 - 150,000",0,0
Full Time,Management Trainee,Lagos,"75,000 - 150,000",0,0
Full Time,Marketer,Lagos,"Less than 75,000",0,0
Full Time,Marketer/Sales Executive,Lagos,"Less than 75,000",0,0
Full Time,Marketing Executive,Lagos,"600,000 - 900,000",0,0
Full Time,Marketing Manager,"1 Babatunde Street, Off Ogunlana Drive, Surulere, Lagos State",350000,1,0
Full Time,Mathematics Teacher,Lagos,"75,000 - 150,000",0,0
Full Time,Media Specialist,Lagos,"75,000 - 150,000",0,0
Full Time,Medical Sales Representative,Abuja,"75,000 - 150,000",0,0
Full Time,Medical Sales Representative,Enugu,"75,000 - 150,000",0,0
Full Time,Medical Sales Representative,Imo,"75,000 - 150,000",0,0
Full Time,Medical Sales Representative,Lagos,"75,000 - 150,000",0,0
Full Time,Medical Sales Representative,Rest of Nigeria,"75,000 - 150,000",0,0
Full Time,Nurse,"Toyin Street, Ikeja, Lagos State",120000,1,1
Full Time,Office Administrator,Lagos,"Less than 75,000",0,0
Full Time,Office Assistant,Lagos,"Less than 75,000",0,0
Full Time,Operations Lead,Lagos,"Less than 75,000",0,0
Full Time,Operations Specialist,Lagos,"75,000 - 150,000",0,0
Full Time,Personal Assistant,Lagos,"150,000 - 250,000",0,0
Full Time,PHE Teacher,Lagos,"75,000 - 150,000",0,0
Full Time,Plumber,Lagos,"75,000 - 150,000",0,0
Full Time,POS Agent Support,Lagos,"Less than 75,000",0,0
Full Time,Principal Project Officer,Enugu,"250,000 - 400,000",0,0
Full Time,Procurement Officer,Lagos,"75,000 - 150,000",0,0
Full Time,Production Manager.,Enugu,"150,000 - 250,000",0,0
Full Time,Production Supervisor.,Enugu,"75,000 - 150,000",0,0
Full Time,Professional Sculptor,Lagos,"75,000 - 150,000",0,0
Full Time,Programme Officer I,Abuja,"150,000 - 250,000",0,0
Full Time,Project Manager,Lagos,"250,000 - 400,000",0,0
Full Time,Project Manager,Lagos,400000,1,1
Full Time,Project Officer,Enugu,"150,000 - 250,000",0,0
Full Time,Project Safety Officer,Abeokuta & Ogun State,"75,000 - 150,000",0,0
Full Time,Project Supervisor,Lagos,"75,000 - 150,000",0,0
Full Time,Receptionist,Enugu,"Less than 75,000",0,0
Full Time,Restaurant Shift Manager,Lagos,"75,000 - 150,000",0,0
Full Time,Retail Marketing Officer,Lagos,"250,000 - 400,000",0,0
Full Time,Sales Executive,Enugu,"75,000 - 150,000",0,0
Full Time,Sales Executive,Lagos,"Less than 75,000",0,0
Full Time,Sales Executives,Lagos,"Less than 75,000",0,0
Full Time,Sales Manager,Lagos,"Less than 75,000",0,0
Full Time,Sales Officer,Lagos,"Less than 75,000",0,0
Full Time,Sales Representative,Lagos,"50,000 - 100,000",1,1
Full Time,Sales Representative,Lagos,"75,000 - 150,000",0,0
Full Time,Sales Representative,Lagos,"Less than 75,000",0,0
Full Time,Sales/Marketing Executive,Lagos,"Less than 75,000",0,0
Full Time,Senior Project Officer,Enugu,"150,000 - 250,000",0,0
Full Time,Social media Manager,Lagos,"75,000 - 150,000",0,0
Full Time,Social media Manager,Lagos,"Less than 75,000",0,0
Full Time,Social Media Manager/VA,Remote,"75,000 - 150,000",0,0
Full Time,Software Developer,"Starlink House, Suite 202, No. 8/10 Salamotu Eniola Street, Illasa, Lagos State",500000,1,1
Full Time,Software Engineer,Remote,"150,000 - 250,000",0,0
Full Time,Superintendent Pharmaceutical Officer,Lagos,"75,000 - 150,000",0,0
Full Time,Supervisor,Lagos,"75,000 - 150,000",0,0
Full Time,Telemarketer/Sales Agent,Rest of Nigeria,"Less than 75,000",0,0
Full Time,Telesales Agent,Remote,"Less than 75,000",0,0
Full Time,Telesales Officer,Abuja,"Less than 75,000",0,0
Full Time,Ticketing and Reservation Officer,Lagos,"150,000 - 250,000",0,0
Full Time,Video Motion Graphic Animation Designer,Nationwide,"75,000 - 150,000",0,0
Full Time,Web Designer.,Enugu,"75,000 - 150,000",0,0
Full-Time,Accountant,"1 Babatunde Street, Off Ogunlana Drive","200,000 - 300,000",1,1
Full-Time,Accountant,"First Floor, Left Wing, No. 49, Olowu Street, Off Moboloji Bank, Anthony Way, Ikeja, Lagos State",Negotiable,1,1
Full-Time,Accountant,"Ibadan Road, Ibadan South-West, Oyo State",Competitive/Experience-based,1,1
Full-Time,Accountant,"Kosofe, Lagos State","150,000 - 200,000",1,1
Full-Time,Accountant,Lagos State,"150,000 - 200,000",1,1
Full-Time,Accountant,Lagos State,"200,000 -250,000",1,1
Full-Time,Accountant,"No. 64 Toyin Street, Opebi-Toyin, Ikeja, Lagos State","150,000 - 200,000",1,1
Full-Time,Accounting Clerk,"Oshodi, Lagos State","80,000 - 120,000",1,1
Full-Time,Business Development Officer,Lagos State,"100,000 - 150,000",1,1
Full-Time,Business Development Officer,"No. 64 Toyin Street, Opebi-Toyin, Ikeja, Lagos State",Negotiable,1,1
Full-Time,Civil Engineer,Lagos State,"300,000 - 500,000",1,1
Full-Time,Customer Service Representative,"No. 90, Awolowo Way, Opposite MAN House, Ikeja, Lagos State","80,000 - 120,000",1,1
Full-Time,Customer Service Representative,Remote,"100,000 -150,000",1,1
Full-Time,Customer Service Representative,Remote,"Less than 250,000",1,1
Full-Time,Financial Analyst,Lagos,"200,000 - 300,000",1,1
Full-Time,Front Desk Officer,"First Floor, Left Wing, No. 49, Olowu Street, Off Moboloji Bank, Anthony Way, Ikeja, Lagos State","70,000 - 100,000",1,1
Full-Time,Graphic Designer,"Comfort house, Alagomeji Ebute meta, Lagos","150,000 - 250,000",1,1
Full-Time,Graphic Designer,"Ille-Ile Bus-Stop, Opposite Skye Bank PLC","100,000 - 150,000",1,1
Full-Time,HR Manager,"Franchise Village, 27 Adeleke Street, Off Allen Avenue, Ikeja, Lagos State","250,000 - 350,000",1,1
Full-Time,HR Manager,"Lâ€™monarch Towers, No. 65, Opebi Road, Ikeja","250,000 - 350,000",1,1
Full-Time,Human Resource Manager,Lagos State,"200,000 - 350,000",1,1
Full-Time,Human Resources Manager,"Franchise villa, 27 adeleke str off allen ikeja","400,000 - 600,000",1,1
Full-Time,Human Resources Manager,"House 2, Odegbami crescent, Olorunsogo, Abeokuta, Ogun State",350000,1,1
Full-Time,Human Resources Manager,Lagos State,"250,000 - 400,000",1,1
Full-Time,Human Resources Manager,Lagos State,"300,000 - 400,000",1,1
Full-Time,Human Resources Manager,"No. 1-6, Alhaji Lateef Sulaimon Street, Opposite Owode-Onirin Market, Kosofe, Lagos State",Negotiable,1,1
Full-Time,IT Support Specialist,"House 2, Odegbami crescent, Olorunsogo, Abeokuta, Ogun State",350000,1,1
Full-Time,IT Support Specialist,Lagos State,"150,000 - 200,000",1,1
Full-Time,Marketing Executive,Lagos State,Negotiable,1,1
Full-Time,Marketing Manager,Lagos State,"400,000 - 500,000",1,1
Full-Time,Marketing Manager,"No. 1-6, Alhaji Lateef Sulaimon Street, Opposite Owode-Onirin Market, Kosofe, Lagos State","200,000 - 250,000",1,1
